level,name,race_eth,age_grp,tenure,count,count_se,share,share_se
state,Connecticut,total,total,owned,923061,4271.907466188708,0.660591960060802,0.0025798464397442464
state,Connecticut,total,total,rented,455775,4210.023219292977,0.3261770355336343,0.0025591484065757954
state,Connecticut,total,total,other,18488,957.0628038339644,0.013231004405563778,6.810963652337287e-4
state,Connecticut,total,under35,owned,76152,1629.2970944466679,0.35447068187848235,0.006493747555220036
state,Connecticut,total,under35,rented,135292,2434.0797656247414,0.6297542742502316,0.006614928871885589
state,Connecticut,total,under35,other,3389,461.0319125569779,0.01577504387128607,0.0021243458148471257
state,Connecticut,total,ages35_64,owned,558332,3894.2469419527606,0.6987150287078706,0.003370831879713273
state,Connecticut,total,ages35_64,rented,232025,3163.0071116570766,0.29036371645534137,0.003341679446427626
state,Connecticut,total,ages35_64,other,8727,635.4203310940529,0.010921254836788123,7.911931316989144e-4
state,Connecticut,total,ages65plus,owned,288577,2649.0040437956027,0.7526649226539943,0.004375081282640067
state,Connecticut,total,ages65plus,rented,88458,1913.185263052902,0.23071566246834305,0.004276280351369557
state,Connecticut,total,ages65plus,other,6372,550.2523514012802,0.01661941487766264,0.0014206571605956805
state,Connecticut,white,total,owned,745650,3850.8249633250934,0.7584387949606262,0.0026565453468726697
state,Connecticut,white,total,rented,225300,2892.5597082944873,0.22916416616995783,0.0026208358718737357
state,Connecticut,white,total,other,12188,648.437689853999,0.012397038869416094,6.569508989347017e-4
state,Connecticut,white,under35,owned,55148,1264.873194007795,0.46015720174223584,0.00839595740370795
state,Connecticut,white,under35,rented,62767,1541.1250765020643,0.5237304540827395,0.008453392809089254
state,Connecticut,white,under35,other,1931,293.0457576706535,0.016112344175024614,0.002421812290212013
state,Connecticut,white,ages35_64,owned,432535,3387.2509276606133,0.7974333021760333,0.0034921604936091525
state,Connecticut,white,ages35_64,rented,104692,2091.7161556974224,0.19301302153909689,0.0034440764531828713
state,Connecticut,white,ages35_64,other,5182,435.8540284620301,0.009553676284869904,8.003366671827321e-4
state,Connecticut,white,ages65plus,owned,257967,2474.9587949329284,0.8039285346995634,0.004123283333098989
state,Connecticut,white,ages65plus,rented,57841,1446.1175872845756,0.18025573183995414,0.0040314436521268785
state,Connecticut,white,ages65plus,other,5075,382.0642807645153,0.01581573346048248,0.0011828661832257433
state,Connecticut,black,total,owned,54923,1590.1887702322165,0.41410066952168406,0.0095542157505078
state,Connecticut,black,total,rented,75728,1982.8958187795429,0.57096326678328,0.009662997632406144
state,Connecticut,black,total,other,1981,445.3769220077794,0.01493606369503589,0.003320915901269317
state,Connecticut,black,under35,owned,4647,553.9135412792301,0.19659023606058043,0.020739409414376846
state,Connecticut,black,under35,rented,18664,1031.9272855162321,0.789576106269566,0.021183111367282827
state,Connecticut,black,under35,other,327,137.9989743738799,0.013833657669853625,0.005798303579437156
state,Connecticut,black,ages35_64,owned,36405,1325.9176975685918,0.4447281300773281,0.012229009308206397
state,Connecticut,black,ages35_64,rented,44227,1476.8696724553026,0.5402826811957145,0.012283079026649409
state,Connecticut,black,ages35_64,other,1227,293.53752424023895,0.014989188726957328,0.0035514639621241745
state,Connecticut,black,ages65plus,owned,13871,696.6987121284353,0.5111848166574535,0.021276184197657644
state,Connecticut,black,ages65plus,rented,12837,856.4659340124426,0.4730790491984522,0.02131245759457422
state,Connecticut,black,ages65plus,other,427,305.26005066620996,0.015736134144094343,0.011091385493234577
state,Connecticut,latino,total,owned,70698,1766.229530436651,0.3704297525857462,0.007619103054921464
state,Connecticut,latino,total,rented,117862,2420.3129494997625,0.6175505884078929,0.007687423887901777
state,Connecticut,latino,total,other,2294,356.8095154608131,0.012019659006360883,0.0018575330524012133
state,Connecticut,latino,under35,owned,10802,775.5367670190203,0.22230911710228443,0.014017484865104016
state,Connecticut,latino,under35,rented,37396,1402.7957979091002,0.7696233792961514,0.014154597394812396
state,Connecticut,latino,under35,other,392,131.49147889713623,0.008067503601564108,0.002697757792920877
state,Connecticut,latino,ages35_64,owned,50864,1481.947804465546,0.43033241114410686,0.009845549501792037
state,Connecticut,latino,ages35_64,rented,65636,1797.9309709104193,0.5553102024586073,0.00991060847169131
